"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Ursus arctos pruinosus","Brown bear","Wherever found","Foreign","Endangered","Mammals"
"Chiropotes satanas satanas","Southern bearded saki","Wherever found","Foreign","Endangered","Mammals"
"Procolobus (=Colobus) rufomitratus (=badius r.)","Tana River red colobus monkey","Wherever found","Foreign","Endangered","Mammals"
"Symphalangus syndactylus","Siamang","Wherever found","Foreign","Endangered","Mammals"
"Parides ascanius","Fluminense swallowtail butterfly","Wherever found","Foreign","Endangered","Insects"
"Scleropages formosus","Asian bonytongue","Wherever found","Foreign","Endangered","Fishes"
"Pauxi unicornis","Southern-helmeted curassow","Wherever found","Foreign","Endangered","Birds"
"Camelus bactrianus","Bactrian camel","Wherever found","Foreign","Endangered","Mammals"
"Perameles bougainville","Barred bandicoot","Wherever found","Foreign","Endangered","Mammals"
"Nemosia rourei","Cherry-throated tanager","Wherever found","Foreign","Endangered","Birds"
"Alcelaphus buselaphus swaynei","Swayne's hartebeest","Wherever found","Foreign","Endangered","Mammals"
"Moschus spp. (all species)","Musk deer","Afghanistan, Bhutan, Burma, China [Tibet, Yunnan], India, Nepal, Pakistan, Sikkim","Foreign","Endangered","Mammals"
"Lontra (=Lutra) felina","Marine otter","Wherever found","Foreign","Endangered","Mammals"
"Campephilus imperialis","Imperial woodpecker","Wherever found","Foreign","Endangered","Birds"
"Pseudomys shortridgei","Shortridge's mouse","Wherever found","Foreign","Endangered","Mammals"
"Panthera pardus","Leopard","except where threatened","Foreign","Endangered","Mammals"
"Mitu mitu mitu","Razor-billed curassow","Wherever found","Foreign","Endangered","Birds"
"Zosterops modesta","Seychelles white-eye","Wherever found","Foreign","Endangered","Birds"
"Gazella dama mhorr","Mhorr gazelle","Wherever found","Foreign","Endangered","Mammals"
"Dasyornis broadbenti littoralis","Western rufous bristlebird","Wherever found","Foreign","Endangered","Birds"
"Papasula (=Sula) abbotti","Abbott's booby","Wherever found","Foreign","Endangered","Birds"
"Macaca arctoides","Stump-tailed macaque","Wherever found","Foreign","Threatened","Mammals"
"Gazella dama lozanoi","Rio de Oro Dama gazelle","Wherever found","Foreign","Endangered","Mammals"
"Leopardus (=Felis) tigrinus","Tiger cat","Wherever found","Foreign","Endangered","Mammals"
"Antilocapra americana peninsularis","Peninsular pronghorn","Mexico (Baja California)","Foreign","Endangered","Mammals"
"Pipile pipile pipile","Trinidad white-headed curassow","Wherever found","Foreign","Endangered","Birds"
"Diomedia amsterdamensis","Amsterdam Albatross","Wherever found","Foreign","Endangered","Birds"
"Saguinus oedipus","Cotton-top tamarin","Wherever found","Foreign","Endangered","Mammals"
"Buceros (=Rhinoplax) vigil","Helmeted hornbill","Wherever found","Foreign","Endangered","Birds"
"Grus nigricollis","Black-necked Crane","Wherever found","Foreign","Endangered","Birds"
"Sauromalus varius","San Esteban Island chuckwalla","Wherever found","Foreign","Endangered","Reptiles"
"Lagorchestes hirsutus","Western hare wallaby","Wherever found","Foreign","Endangered","Mammals"
"Nesillas aldabranus","Aldabra Warbler (old world warbler)","Wherever found","Foreign","Endangered","Birds"
"Troides alexandrae","Queen Alexandra's birdwing butterfly","Wherever found","Foreign","Endangered","Insects"
"Chrysocyon brachyurus","Maned wolf","Wherever found","Foreign","Endangered","Mammals"
"Struthio camelus syriacus","Arabian ostrich","Wherever found","Foreign","Endangered","Birds"
"Trachemys terrapen","Cat Island turtle","Cat Island","Foreign","Endangered","Reptiles"
"Papilio hospiton","Corsican swallowtail butterfly","Wherever found","Foreign","Endangered","Insects"
"Cercopithecus erythrotis","Red-eared nose-spotted monkey","Wherever found","Foreign","Endangered","Mammals"
"Anas aucklandica nesiotis","Campbell Island flightless teal","Wherever found","Foreign","Endangered","Birds"
"Copsychus niger cebuensis","Cebu black shama (thrush)","Wherever found","Foreign","Endangered","Birds"
"Felis jacobita","Andean cat","Wherever found","Foreign","Endangered","Mammals"
"Capromys nana","Dwarf hutia","Wherever found","Foreign","Endangered","Mammals"
"Macaca cyclopis","Formosan rock macaque","Wherever found","Foreign","Threatened","Mammals"
"Xipholena atropurpurea","White-winged cotinga","Wherever found","Foreign","Endangered","Birds"
"Callaeas cinerea","Kokako (wattlebird)","Wherever found","Foreign","Endangered","Birds"
"Osteolaemus tetraspis tetraspis","African dwarf crocodile","Wherever found","Foreign","Endangered","Reptiles"
"Pseudomys praeconis","Shark Bay mouse","Wherever found","Foreign","Endangered","Mammals"
"Muntiacus feae","Fea's muntjac","Wherever found","Foreign","Endangered","Mammals"
"Cyclura lewisi","Grand Cayman ground iguana","Wherever found","Foreign","Endangered","Reptiles"
"Tapirus indicus","Asian tapir","Wherever found","Foreign","Endangered","Mammals"
"Leiopelma hamiltoni","Stephen Island frog","Wherever found","Foreign","Endangered","Amphibians"
"Pitta gurneyi","Gurney's pitta","Wherever found","Foreign","Endangered","Birds"
"Podiceps taczanowskii","Junin grebe","Wherever found","Foreign","Endangered","Birds"
"Tapirus terrestris","South American (=Brazilian) tapir","Wherever found","Foreign","Endangered","Mammals"
"Crotalus unicolor","Aruba Island rattlesnake","Wherever found","Foreign","Threatened","Reptiles"
"Ailuropoda melanoleuca","Giant panda","Wherever found","Foreign","Endangered","Mammals"
"Cercopithecus diana","Diana monkey","Wherever found","Foreign","Endangered","Mammals"
"Tachybaptus rufolavatus","Alaotra Grebe","Wherever found","Foreign","Endangered","Birds"
"Caiman crocodilus fuscus (includes Caiman crocodilus chiapasius)","Brown Caiman","Wherever found","Foreign","Similarity of Appearance (Threatened)","Reptiles"
"Solenodon cubanus","Cuban solenodon","Wherever found","Foreign","Endangered","Mammals"
"Osteolaemus tetraspis osborni","Congo dwarf crocodile","Wherever found","Foreign","Endangered","Reptiles"
"Arcanator orostruthus","Dappled mountain robin","Wherever found","Foreign","Threatened","Birds"
"Crocodylus palustris kimbula","Ceylon mugger crocodile","Wherever found","Foreign","Endangered","Reptiles"
"Hippocamelus antisensis","North Andean huemul","Wherever found","Foreign","Endangered","Mammals"
"Ovis ammon","Argali","Kyrgyzstan, Mongolia, Tajikistan","Foreign","Threatened","Mammals"
"Lophura swinhoii","Swinhoe's pheasant","Wherever found","Foreign","Endangered","Birds"
"Pseudemydura umbrina","Short-necked or western swamp turtle","Wherever found","Foreign","Endangered","Reptiles"
"Solenodon paradoxus","Haitian solenodon","Wherever found","Foreign","Endangered","Mammals"
"Picathartes gymnocephalus","White-necked rockfowl","Wherever found","Foreign","Endangered","Birds"
"Rhea (=Pterocnemia) pennata","Lesser rhea (incl. Darwin's)","Wherever found","Foreign","Endangered","Birds"
"Quisicalus palustris","Slender-billed Grackle","Wherever found","Foreign","Endangered","Birds"
"Ovis ammon","Argali","Wherever found except Kyrgyzstan, Mongolia, and Tajikistan","Foreign","Endangered","Mammals"
"Cercocebus torquatus","White-collared mangabey","Wherever found","Foreign","Endangered","Mammals"
"Marmota vancouverensis","Vancouver Island marmot","Wherever found","Foreign","Endangered","Mammals"
"Bettongia penicillata","Brush-tailed rat-kangaroo","Wherever found","Foreign","Endangered","Mammals"
"Rallus pectoralis muelleri","Aukland Island rail","Wherever found","Foreign","Endangered","Birds"
"Panthera pardus","Leopard","Gabon to Kenya  and  southward","Foreign","Threatened","Mammals"
"Mergus octosetaceus","Brazillian merganser","Wherever found","Foreign","Endangered","Birds"
"Cervus elaphus wallichi","Shou","Wherever found","Foreign","Endangered","Mammals"
"Cyanopsitta spixii","Little blue macaw","Wherever found","Foreign","Endangered","Birds"
"Odontophorus strophium","Gorgeted wood-quail","Wherever found","Foreign","Endangered","Birds"
"Leptailurus (=Felis) serval constantina","Barbary serval","Wherever found","Foreign","Endangered","Mammals"
"Leporillus conditor","Stick-nest rat","Wherever found","Foreign","Endangered","Mammals"
"Crocodylus porosus","Saltwater crocodile","Wherever found, except Papua New Guinea and Australia","Foreign","Endangered","Reptiles"
"Axis porcinus calamianensis","Calamianes (=Philippine) deer","Wherever found","Foreign","Endangered","Mammals"
"Dasyornis longirostris (=brachypterus I.)","Western bristlebird","Wherever found","Foreign","Endangered","Birds"
"Lycaon pictus","African wild dog","Wherever found","Foreign","Endangered","Mammals"
"Capromys sanfelipensis","Little earth hutia","Wherever found","Foreign","Endangered","Mammals"
"Tyto soumagnei","Madagascar red owl","Wherever found","Foreign","Endangered","Birds"
"Terpsiphone corvina","Seychelles paradise flycatcher","Wherever found","Foreign","Endangered","Birds"
"Cynomys mexicanus","Mexican prairie dog","Mexico","Foreign","Endangered","Mammals"
"Cervus alfredi","Visayan deer","Wherever found","Foreign","Endangered","Mammals"
"Cyclura carinata carinata","Turks and Caicos iguana","Wherever found","Foreign","Threatened","Reptiles"
"Anodorhynchus leari","Indigo macaw","Wherever found","Foreign","Endangered","Birds"
"Eutrichomyias rowleyi","Caerulean Paradise flycatcher","Wherever found","Foreign","Endangered","Birds"
"Equus zebra zebra","Mountain zebra","Wherever found","Foreign","Endangered","Mammals"
"Callithrix aurita (=jacchus a.)","White-eared (=buffy tufted-ear) marmoset","Wherever found","Foreign","Endangered","Mammals"
"Syrmaticus ellioti","Elliot's pheasant","Wherever found","Foreign","Endangered","Birds"
"Semnopithecus (=Presbytis) entellus","Gray (=entellus) langur","Wherever found","Foreign","Endangered","Mammals"
"Callimico goeldii","Goeldi's marmoset","Wherever found","Foreign","Endangered","Mammals"
"Pseudobulweria macgillivrayi","Fiji petrel","Wherever found","Foreign","Endangered","Birds"
"Gazella gazella","Arabian gazelle","Wherever found","Foreign","Endangered","Mammals"
"Propithecus spp.","Sifakas","Wherever found","Foreign","Endangered","Mammals"
"Nectarinia prigoginei","Marungu sunbird","Wherever found","Foreign","Endangered","Birds"
"Cyrtonaias tampicoensis tecomatensis","Tampico pearlymussel","Wherever found","Foreign","Endangered","Clams"
"Cercopithecus erythrogaster","Red-bellied monkey","Wherever found","Foreign","Endangered","Mammals"
"Columba junoniae","White-tailed laurel Pigeon","Wherever found","Foreign","Threatened","Birds"
"Troglodytes aedon guadeloupensis","Guadeloupe house wren","Wherever found","Foreign","Endangered","Birds"
